요구사항ID,도메인,요구사항,관계유형,관련 요구사항ID,관계 설명,요구 설명,우선순위,3사/핏지니 포함여부,대표 출처,중복 병합 출처 수,비고
REQ-FAC-028,시설관리,사우나 온도 체크,유사연계,"REQ-APP-022, REQ-RSV-043, REQ-APP-004, REQ-MBR-056, REQ-CLS-051, REQ-APP-012","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=자동알림/메시지, 출입/키오스크/모바일. 예: REQ-APP-022 사우나 이용 기록, REQ-RSV-043 출석 QR 체크인, REQ-APP-004 QR 체크인(자가 출석), REQ-MBR-056 출석 체크(참석/불참/취소)","Manager App > 시설·청결 관리 > 시설 모니터링. IoT 또는 수동 입력 데이터 기반으로 사우나 온도/습도를 모니터링한다.. Input=사우나 온도/습도 데이터, 시간 기록. Output=정상/비정상 상태, 경고 알림. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R117,1,스포짐 원천요구
REQ-FAC-029,시설관리,사우나 온도 트렌드 모니터링,유사연계,"REQ-STF-028, REQ-HQ-116, REQ-HQ-085, REQ-MBR-016, REQ-HQ-091, REQ-SET-024","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=대시보드/KPI. 예: REQ-STF-028 실시간 업무 부하 모니터링, REQ-HQ-116 주간/월간 KPI 트렌드, REQ-HQ-085 실시간 재무 대시보드
 : 일일/월별 손익 현황을 실시간으로 모니터링, REQ-MBR-016 데이터 인사이트","HQ Dashboard > 시설·안전·리스크 대시보드 > 시설 리스크 메인. 지점별 사우나 온도·습도 로그를 모아 이상 패턴(너무 높음/낮음)을 탐지한다.. Input=사우나 온도/습도 로그, 시간, 지점 코드. Output=온도 트렌드 그래프, 이상 구간 경고. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R148,1,스포짐 원천요구
REQ-FAC-030,시설관리,사진 업로드 기록 보기,부분포함,,상위 화면의 탭/필터/목록/모달/입력항목으로 포함될 수 있어 화면 단위 검토 필요,"Manager App > 시설·청결 관리 > 사진 관리. 시설 점검/청결 인증 시 업로드된 사진을 날짜별/구역별로 조회한다.. Input=사진, 촬영 직원ID, 구역 ID. Output=사진 리스트, 점검 히스토리. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R119,1,스포짐 원천요구
REQ-FAC-031,시설관리,센터 웹사이트 관리,독립,,현재 기준 독립 요구사항으로 판단,"시설관리 / 웹사이트. 3사 비교: BroJ=×, OnFit=×, LessonBook=○, FitGenie=×. 레슨북 차별 / 핏지니 미명시 (사용자 LSB-14 누락 일치)",,"BroJ=×, OnFit=×, LessonBook=○, FitGenie=×",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R101,1,원천 기능행
REQ-FAC-032,시설관리,소모품 재고 관리(입출고·발주),독립,,현재 기준 독립 요구사항으로 판단,"시설관리 / 운영 도구(FG). 3사 비교: BroJ=×, OnFit=×, LessonBook=×, FitGenie=○. 핏지니 재고·발주",,"BroJ=×, OnFit=×, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R104,1,원천 기능행
REQ-FAC-033,시설관리,수리 요청 승인,독립,,현재 기준 독립 요구사항으로 판단,"Manager App > 전자결재 > 결재 리스트. 기구/시설 수리 요청서를 확인하고 결재한다.. Input=수리 요청서, 견적, 금액, 사진. Output=수리 승인/반려 기록, 처리 히스토리. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R122,1,스포짐 원천요구
REQ-FAC-034,시설관리,시설 관리,유사연계,"REQ-FAC-009, REQ-FAC-014, REQ-CLS-037, REQ-PAY-036, REQ-PAY-040, REQ-PRD-014","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=락커/사물함. 예: REQ-FAC-009 골프 시설, REQ-FAC-014 락커 관리, REQ-CLS-037 수업 상품 등록, REQ-PAY-036 상품 목록(회원권/수강권/락커/대여)",종합 요약. BroJ=락커 박스뷰/리스트뷰 시각화; OnFit=골프타석·운동룸·일일사물함 복합; FitPlat 결정=OnFit 시설 + BroJ 락커 UI,,,BroJ vs OnFit 비교분석: lastspr/요구리스트관련자료/3사앱 확인/심프로/비교분석_BroJ_vs_OnFit.md::L18,1,경쟁사 비교/채택전략
REQ-FAC-035,시설관리,시설 관리는 회의에서 가장 많이 논의된 영역,독립,,현재 기준 독립 요구사항으로 판단,시설 관리는 회의에서 가장 많이 논의된 영역,,,회의록: lastspr/요구리스트관련자료/회의록/260428.md::L94,1,회의결정/논의
REQ-FAC-036,시설관리,시설 이슈 보고/처리,독립,,현재 기준 독립 요구사항으로 판단,"Manager App > 시설·청결 관리 > 이슈 보고. 직원이 등록한 시설 문제를 보고서 형태로 확인하고 처리/반려할 수 있다.. Input=이슈 내용, 사진, 직원ID, 구역 정보. Output=이슈 상태(신규/처리/완료), 처리 로그. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R120,1,스포짐 원천요구
REQ-FAC-037,시설관리,시설 점검 체크리스트 자동화,유사연계,"REQ-HQ-074, REQ-STF-026, REQ-HQ-102, REQ-HQ-008, REQ-HQ-001, REQ-HQ-075","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=대시보드/KPI. 예: REQ-HQ-074 시설 점검률, REQ-STF-026 스케줄 자동 최적화, REQ-HQ-102 자동 생성 Task 리스트, REQ-HQ-008 GX 수업 예약 및 출석 자동화","시스템=3) 시설·리커버리·오프라인 운영

장비 고장 자동감지는 
별도 장비가 필요함; KPI=시설 청결도 점수 (Branch Manager); 효과=일일 시설 점검 체크리스트 자동 생성 및 완료 추적. 누락 없는 관리로 청결도 4.5/5.0+ 달성; 흐름=점검 항목 자동 생성 → 직원 체크 → 완료 추적 → 청결도 평가",,,대시보드/KPI 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/DashBoard_단계별_KPI_Structure_2026_0127 - 복사본.xlsx::3. 시스템 & 운영_비용관리!R21,1,대시보드/KPI
REQ-FAC-038,시설관리,시설 현황 대시보드,유사연계,"REQ-HQ-037, REQ-HQ-143, REQ-SET-016, REQ-HQ-069, REQ-HQ-091, REQ-APP-042","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=대시보드/KPI. 예: REQ-HQ-037 대시보드, REQ-HQ-143 홈 대시보드, REQ-SET-016 메인 대시보드, REQ-HQ-069 슈퍼 대시보드",5. 시설 관리. BroJ=★★; OnFit=★★★ 실시간 현황판; FitPlat 결정=**OnFit** 채택,,,BroJ vs OnFit 비교분석: lastspr/요구리스트관련자료/3사앱 확인/심프로/비교분석_BroJ_vs_OnFit.md::L109,1,경쟁사 비교/채택전략
REQ-FAC-039,시설관리,오프라인 운영 데이터 통합,유사연계,"REQ-MBR-016, REQ-HQ-087, REQ-HQ-136, REQ-STF-016, REQ-STF-024, REQ-MBR-031","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=대시보드/KPI, 급여/정산/지출. 예: REQ-MBR-016 데이터 인사이트, REQ-HQ-087 영업이익률, REQ-HQ-136 통합 ROI, REQ-STF-016 급여 관리 통합 기준",시스템=; KPI=영업이익률 (Branch Manager); 효과=시설 운영 비용(전기/수도/수리) 실시간 추적 및 최적화. 불필요한 지출 30% 절감으로 영업이익률 30%+ 달성; 흐름=운영 비용 데이터 → 실시간 추적 → 최적화 제안 → 비용 절감 → 이익률 측정,,,대시보드/KPI 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/DashBoard_단계별_KPI_Structure_2026_0127 - 복사본.xlsx::3. 시스템 & 운영_비용관리!R25,1,대시보드/KPI
REQ-FAC-040,시설관리,운동룸 관리,중복병합,,동일 또는 사실상 같은 요구를 3개 출처에서 병합. 관련그룹=-,"시설관리 / 운동룸. 3사 비교: BroJ=×, OnFit=○, LessonBook=△, FitGenie=○. 핏지니 운동룸 관리 / 시설. 룸별 예약·사용 현황. 출처=온핏 / 5. 시설 관리. BroJ=✗ 없음; OnFit=★★★ 룸별 패턴·좌석 배치 설정; FitPlat 결정=**OnFit** 채택",P1,"BroJ=×, OnFit=○, LessonBook=△, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R93 | 3사앱 통합기획 DOCX: lastspr/요구리스트관련자료/3사앱 확인/심프로/통합_헬스장_관리시스템_기획문서.docx::기능항목표 R28 | BroJ vs OnFit 비교분석: lastspr/요구리스트관련자료/3사앱 확인/심프로/비교분석_BroJ_vs_OnFit.md::L106,3,원천 기능행
REQ-FAC-041,시설관리,운동룸 예약 슬롯/패턴,독립,,현재 기준 독립 요구사항으로 판단,"시설관리 / 운동룸. 3사 비교: BroJ=×, OnFit=○, LessonBook=×, FitGenie=○. 핏지니 예약 슬롯 바 + 공간 자산",,"BroJ=×, OnFit=○, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R94,1,원천 기능행
REQ-FAC-042,시설관리,운동복 관리(대여·반납 + QR),유사연계,"REQ-RSV-011, REQ-APP-003, REQ-APP-029, REQ-APP-028, REQ-APP-004, REQ-APP-006","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=출입/키오스크/모바일. 예: REQ-RSV-011 골프 타석 예약·배정, REQ-APP-003 Q&A/FAQ/신고, REQ-APP-029 예약 취소·이력, REQ-APP-028 실시간 입장·회원 식별","시설관리 / 운영 도구(FG). 3사 비교: BroJ=×, OnFit=×, LessonBook=×, FitGenie=○. 핏지니 운동복 QR — 신규",,"BroJ=×, OnFit=×, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R102,1,원천 기능행
REQ-FAC-043,시설관리,원격 제어 센터(IoT 기기),유사연계,"REQ-MBR-004, REQ-APP-036, REQ-APP-012, REQ-MBR-046, REQ-MBR-056, REQ-APP-028","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=출입/키오스크/모바일. 예: REQ-MBR-004 AI 통합 분석(온핏 분석), REQ-APP-036 출석 결과 처리·후처리, REQ-APP-012 다중 인증 체크인(QR·안면·전화), REQ-MBR-046 체성분(InBody) 관리","시설관리 / 키오스크·디바이스. 3사 비교: BroJ=○, OnFit=×, LessonBook=×, FitGenie=○. 핏지니 IoT 연동 관리",,"BroJ=○, OnFit=×, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R100,1,원천 기능행
REQ-FAC-044,시설관리,일일 사물함(단기 배정),유사연계,"REQ-FAC-021, REQ-APP-021, REQ-FAC-020, REQ-PAY-036, REQ-PRD-014, REQ-FAC-016","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=락커/사물함. 예: REQ-FAC-021 락커 현황(박스뷰/그리드), REQ-APP-021 본인 확인·이용권/예약/락커 조회, REQ-FAC-020 락커 현황(리스트뷰), REQ-PAY-036 상품 목록(회원권/수강권/락커/대여)","시설관리 / 사물함·락커. 3사 비교: BroJ=×, OnFit=○, LessonBook=△, FitGenie=○. 핏지니 사물함 배정 관리",,"BroJ=×, OnFit=○, LessonBook=△, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R91,1,원천 기능행
REQ-FAC-045,시설관리,장비 고장 자동 감지 및 신고,유사연계,"REQ-RSV-014, REQ-CLS-017, REQ-MBR-027, REQ-MKT-027, REQ-HQ-086, REQ-STF-026","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=대시보드/KPI. 예: REQ-RSV-014 노쇼 15분 자동 감지 및 알림, REQ-CLS-017 PT 종료 자동 감지 및 재구매 상담 리스트 생성, REQ-MBR-027 상담 자동 녹음 및 요약, REQ-MKT-027 자동알림(신규) 트리거",시스템=; KPI=NPS (Branch Manager); 효과=운동 장비 고장 자동 감지 및 즉각 수리 요청. 시설 다운타임 최소화로 NPS 40+ 달성; 흐름=장비 센서 → 고장 감지 → 자동 신고 → 즉각 수리 → NPS 측정,,,대시보드/KPI 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/DashBoard_단계별_KPI_Structure_2026_0127 - 복사본.xlsx::3. 시스템 & 운영_비용관리!R24,1,대시보드/KPI
REQ-FAC-046,시설관리,장비 점검 일정,독립,,현재 기준 독립 요구사항으로 판단,"시설관리 / 운영 도구(FG). 3사 비교: BroJ=×, OnFit=×, LessonBook=×, FitGenie=○. 핏지니 장비·점검·수리",,"BroJ=×, OnFit=×, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R103,1,원천 기능행
REQ-FAC-047,시설관리,"제로스트는 시설 관리 화면, 데이터 저장, 조회, 수정, 상태 관리 등 CRM 내 기능을 담당하는 방향",부분포함,,상위 화면의 탭/필터/목록/모달/입력항목으로 포함될 수 있어 화면 단위 검토 필요,"제로스트는 시설 관리 화면, 데이터 저장, 조회, 수정, 상태 관리 등 CRM 내 기능을 담당하는 방향",,,회의록: lastspr/요구리스트관련자료/회의록/260428.md::L97,1,회의결정/논의
REQ-FAC-048,시설관리,청결 인증률 보기,유사연계,"REQ-MKT-016, REQ-APP-040, REQ-APP-007, REQ-APP-012, REQ-HQ-043, REQ-MBR-022","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=자동알림/메시지, 출입/키오스크/모바일. 예: REQ-MKT-016 모든 알림 보기, REQ-APP-040 통증 기록 입력, REQ-APP-007 결제 이력/영수증, REQ-APP-012 다중 인증 체크인(QR·안면·전화)","Manager App > 시설·청결 관리 > 시설 점검. 직원 청결 체크리스트 인증률을 확인하고 문제 구역을 표시한다.. Input=QR 체크 기록, 체크리스트 항목 수행 로그. Output=구역별 점검률 %, 미수행 항목 알림. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R116,1,스포짐 원천요구
REQ-FAC-049,시설관리,청소 스케줄(구역별),독립,,현재 기준 독립 요구사항으로 판단,"시설관리 / 운영 도구(FG). 3사 비교: BroJ=×, OnFit=×, LessonBook=×, FitGenie=○. 핏지니 체크리스트",,"BroJ=×, OnFit=×, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R105,1,원천 기능행
REQ-FAC-050,시설관리,청소 인증률 분석,유사연계,"REQ-CLS-020, REQ-MBR-020, REQ-APP-004, REQ-MBR-004, REQ-CLS-009, REQ-MKT-006","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=대시보드/KPI, 출입/키오스크/모바일. 예: REQ-CLS-020 PT 캠페인 성과 분석, REQ-MBR-020 방문율 분석, REQ-APP-004 QR 체크인(자가 출석), REQ-MBR-004 AI 통합 분석(온핏 분석)","HQ Dashboard > 시설·안전·리스크 대시보드 > 청결 모니터링. 구역별 청소 인증률과 지연/누락 현황을 종합해 청결 리스크를 평가한다.. Input=QR 청소 인증 로그, 체크리스트, 시간 데이터. Output=지점·구역별 청소 인증률, 지연 건수, 위험 구역 표시. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R150,1,스포짐 원천요구
REQ-FAC-051,시설관리,출입 제한 통합 기준,유사연계,"REQ-MBR-010, REQ-MBR-004, REQ-APP-009, REQ-HQ-043, REQ-APP-010, REQ-APP-013","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=출입/키오스크/모바일. 예: REQ-MBR-010 QR 출입 관리 시스템, REQ-MBR-004 AI 통합 분석(온핏 분석), REQ-APP-009 관리자 진입·기기 상태·운영 제어, REQ-HQ-043 - 디지털 회원증 (QR코드 기반 출입)",온핏 기반=없음; 브로제이 보완=해피아워(시간대별 출입제한) ✓; 레슨북 고도화=—,,,3사앱 역할비교 DOCX: lastspr/요구리스트관련자료/3사앱 확인/심프로/통합_헬스장_관리시스템_기획문서.docx::기능영역표 R12,1,역할비교/중복보강
REQ-FAC-052,시설관리,키오스크,유사연계,"REQ-HQ-089, REQ-PRD-009, REQ-FAC-053, REQ-RSV-043, REQ-MBR-010, REQ-APP-004","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=출입/키오스크/모바일. 예: REQ-HQ-089 - 온라인/모바일 간편결제 및 키오스크 결제, REQ-PRD-009 지점 다중 소속/홈&오피스, REQ-FAC-053 키오스크 설정·운영, REQ-RSV-043 출석 QR 체크인",5. 시설 관리. BroJ=✗ 없음; OnFit=★★★ 키오스크 배너·설정 관리; FitPlat 결정=**OnFit** 채택,,,BroJ vs OnFit 비교분석: lastspr/요구리스트관련자료/3사앱 확인/심프로/비교분석_BroJ_vs_OnFit.md::L108,1,경쟁사 비교/채택전략
REQ-FAC-053,시설관리,키오스크 설정·운영,유사연계,"REQ-APP-034, REQ-APP-012, REQ-APP-021, REQ-MBR-004, REQ-APP-028, REQ-APP-008","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=출입/키오스크/모바일. 예: REQ-APP-034 정책 설정 연동, REQ-APP-012 다중 인증 체크인(QR·안면·전화), REQ-APP-021 본인 확인·이용권/예약/락커 조회, REQ-MBR-004 AI 통합 분석(온핏 분석)","시설관리 / 키오스크·디바이스. 3사 비교: BroJ=×, OnFit=○, LessonBook=×, FitGenie=○. 핏지니 키오스크 설정 + 운영 현황",,"BroJ=×, OnFit=○, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R97,1,원천 기능행
REQ-FAC-054,시설관리,타석 관리,독립,,현재 기준 독립 요구사항으로 판단,시설. 골프 타석 예약·현황. 출처=온핏,P2,,3사앱 통합기획 DOCX: lastspr/요구리스트관련자료/3사앱 확인/심프로/통합_헬스장_관리시스템_기획문서.docx::기능항목표 R27,1,3사 앱 기능요약
REQ-FAC-055,시설관리,타석 관리(실시간 이용),독립,,현재 기준 독립 요구사항으로 판단,"시설관리 / 골프 타석. 3사 비교: BroJ=×, OnFit=○, LessonBook=○, FitGenie=○. 핏지니 골프 타석 관리",,"BroJ=×, OnFit=○, LessonBook=○, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R95,1,원천 기능행
REQ-FAC-056,시설관리,해피아워 (시간대별 출입제한),유사연계,"REQ-APP-028, REQ-MBR-010, REQ-APP-009, REQ-HQ-043, REQ-HQ-089, REQ-HQ-074","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=출입/키오스크/모바일. 예: REQ-APP-028 실시간 입장·회원 식별, REQ-MBR-010 QR 출입 관리 시스템, REQ-APP-009 관리자 진입·기기 상태·운영 제어, REQ-HQ-043 - 디지털 회원증 (QR코드 기반 출입)",시설. 요일·시간대별 출입 허용 구간 설정. 출처=브로제이,P2,,3사앱 통합기획 DOCX: lastspr/요구리스트관련자료/3사앱 확인/심프로/통합_헬스장_관리시스템_기획문서.docx::기능항목표 R29,1,3사 앱 기능요약
REQ-FAC-057,시설관리,회원 건강 연동(Health Connect),유사연계,"REQ-MBR-004, REQ-MBR-046, REQ-APP-006, REQ-APP-012, REQ-APP-028, REQ-FAC-004","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=체성분/인바디, 출입/키오스크/모바일. 예: REQ-MBR-004 AI 통합 분석(온핏 분석), REQ-MBR-046 체성분(InBody) 관리, REQ-APP-006 건강 데이터 연동(Health Connect), REQ-APP-012 다중 인증 체크인(QR·안면·전화)","시설관리 / IoT 연동(FG). 3사 비교: BroJ=×, OnFit=×, LessonBook=×, FitGenie=○. 핏지니 체성분·운동 + Health Connect",,"BroJ=×, OnFit=×, LessonBook=×, FitGenie=○",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R108,1,원천 기능행
REQ-STF-001,직원관리,AI 기반 Today Tasks 자동 생성,유사연계,"REQ-HQ-030, REQ-HQ-014, REQ-HQ-028, REQ-HQ-002, REQ-HQ-086, REQ-HQ-102","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=대시보드/KPI, 권한/역할, 자동알림/메시지. 예: REQ-HQ-030 Today Tasks, REQ-HQ-014 KPI/Today’s Work, REQ-HQ-028 Task 필터/정렬, REQ-HQ-002 AT-RISK 회수율",시스템=2) 직원 스케줄·업무일지·미션; KPI=TM 완료율 (FC); 효과=CRM 데이터 기반으로 FC별 Today Tasks를 우선순위와 함께 자동 생성. 누락 방지 및 효율적 업무 배분으로 TM 완료율 90%+ 달성; 흐름=CRM 데이터 → AI 분석 → Today Tasks 생성 → FC 앱 알림 → 완료율 측정,,,대시보드/KPI 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/DashBoard_단계별_KPI_Structure_2026_0127 - 복사본.xlsx::3. 시스템 & 운영_비용관리!R14,1,대시보드/KPI
REQ-STF-002,직원관리,AI 트레이너 매칭 TOP3,유사연계,"REQ-CLS-053, REQ-MBR-015, REQ-HQ-138, REQ-MBR-001, REQ-MBR-002, REQ-MBR-003","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=권한/역할. 예: REQ-CLS-053 트레이너 실적, REQ-MBR-015 담당 트레이너 지정, REQ-HQ-138 트레이너 실적 리포트, REQ-MBR-001 AI 기반 재등록 타이밍 최적화","Member App > PT/OT 예약 > 트레이너 추천. 성별 선호, 운동 목적, 성향, 시간대, 스타일 등을 기반으로 회원에게 가장 잘 맞는 트레이너 TOP3를 점수와 함께 보여준다.. Input=회원 선호(성별/시간대), 목적, 성향, 기존 PT 데이터, 트레이너 프로필. Output=DB 트레이너별 매칭 점수, TOP3 리스트. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R35,1,스포짐 원천요구
REQ-STF-003,직원관리,BroJ 전자계약서 4종 유형 (MEM-004에 유형 추가),유사연계,"REQ-PAY-056, REQ-GEN-044, REQ-MBR-054, REQ-PAY-054, REQ-PAY-047, REQ-OPS-002","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=전자계약/서명. 예: REQ-PAY-056 전자 계약서, REQ-GEN-044 전자 계약 통합 기준, REQ-MBR-054 즉시 전자서명, REQ-PAY-054 일일 이용 계약서",PRD_01 회원관리 — 추가 필요,,,BroJ vs OnFit PRD 보완: lastspr/요구리스트관련자료/3사앱 확인/심프로/비교분석_BroJ_vs_OnFit.md::L165,1,보완필요
REQ-STF-004,직원관리,BroJ 트레이너별 자동 정산 (HR-006 보완),유사연계,"REQ-CLS-003, REQ-MBR-015, REQ-SET-002, REQ-CLS-053, REQ-SET-001, REQ-HQ-138","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=권한/역할, 급여/정산/지출. 예: REQ-CLS-003 BroJ 급여정책 3요소 공식(기본급+수업단가+수업료%) (HR-005 보완), REQ-MBR-015 담당 트레이너 지정, REQ-SET-002 BroJ 해피아워 시간대 설정 (SET-001/005에 추가), REQ-CLS-053 트레이너 실적",PRD_06 인사·급여 — 추가 필요,,,BroJ vs OnFit PRD 보완: lastspr/요구리스트관련자료/3사앱 확인/심프로/비교분석_BroJ_vs_OnFit.md::L191,1,보완필요
REQ-STF-005,직원관리,"CRM을 향후 태블릿, 스마트폰 등에서도 대응할 수 있도록 반응형 또는 확장 가능성을 고려해야 한다는 내용도 계약서에 반영되어 있는 것으로 언급됨",유사연계,"REQ-OPS-002, REQ-PAY-054, REQ-PAY-056, REQ-PAY-047, REQ-GEN-044, REQ-PAY-019","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=전자계약/서명. 예: REQ-OPS-002 AWS 기준 구성 여부, API 연동 포인트 설계 등 세부 질문은 판도 개발팀이 계약서를 다시 확인한 뒤 문서로 정리하기로 함, REQ-PAY-054 일일 이용 계약서, REQ-PAY-056 전자 계약서, REQ-PAY-047 약관·서명 영역","CRM을 향후 태블릿, 스마트폰 등에서도 대응할 수 있도록 반응형 또는 확장 가능성을 고려해야 한다는 내용도 계약서에 반영되어 있는 것으로 언급됨",,,회의록: lastspr/요구리스트관련자료/회의록/260428.md::L137,1,회의결정/논의
REQ-STF-006,직원관리,"FastAPI 사용은 계약서에 포함되어 있고, 제로스트 측도 내부 개발팀에 공유되어 있음",유사연계,"REQ-OPS-002, REQ-PAY-054, REQ-PAY-056, REQ-PAY-047, REQ-GEN-044, REQ-MBR-038","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=전자계약/서명. 예: REQ-OPS-002 AWS 기준 구성 여부, API 연동 포인트 설계 등 세부 질문은 판도 개발팀이 계약서를 다시 확인한 뒤 문서로 정리하기로 함, REQ-PAY-054 일일 이용 계약서, REQ-PAY-056 전자 계약서, REQ-PAY-047 약관·서명 영역","FastAPI 사용은 계약서에 포함되어 있고, 제로스트 측도 내부 개발팀에 공유되어 있음",,,회의록: lastspr/요구리스트관련자료/회의록/260428.md::L134,1,회의결정/논의
REQ-STF-007,직원관리,"FC와 스태프 기능은 모두 범위에 포함하는 쪽으로 정리됐고, 필요한 API는 기능 단위로 구체적으로 정의해서 요청해야 한다는 점이 강조됐습니다.",유사연계,"REQ-PAY-061, REQ-SET-033, REQ-SET-026, REQ-SET-030, REQ-RSV-046, REQ-HQ-073","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=권한/역할. 예: REQ-PAY-061 키오스크 결제는 현재 범위에서 제외하는 쪽으로 정리됐고, 결제는 FC 처리와 회원 휴대폰 결제 중심으로 보는 흐름이었습니다., REQ-SET-033 현재 화면만으로는 구조 이해가 어려워서, 역할 정의·정책·히어라키·관리 구조를 문서로 받아야 한다는 요구가 분명하게 나왔습니다., REQ-SET-026 역할 구분 자료에서는 한쪽은 Fit Genie 측 담당 영역, 다른 한쪽은 판도 측 진행 영역으로 나뉘어 있었고, 일부 구간은 협업이 필요한 영역으로 표시되어 있었습니다., REQ-SET-030 커뮤니티 기능은 필요성이 높게 언급됐고, 특히 CRM 안에서 게시판·모임장·관리자 권한 구조를 어떻게 둘지 추가 설계가 필요하다고 정리됐습니다.","FC와 스태프 기능은 모두 범위에 포함하는 쪽으로 정리됐고, 필요한 API는 기능 단위로 구체적으로 정의해서 요청해야 한다는 점이 강조됐습니다.",,,회의록: lastspr/요구리스트관련자료/회의록/260428.md::L4,1,회의결정/논의
